equipa,jogos_jogados,vitorias,empates,derrotas,golos_marcados,golos_sofridos,diferenca_golos,pontos
FC Porto,34,29,4,1,86,22,64,91
Sporting,34,27,4,3,73,23,50,85
Benfica,34,23,5,6,78,30,48,74
Braga,34,19,8,7,52,31,21,65
Gil Vicente,34,13,12,9,47,42,5,51
V. Guimaraes,34,13,9,12,50,41,9,48
Santa Clara,34,9,13,12,38,54,-16,40
Famalicao,34,9,12,13,45,51,-6,39
Estoril,34,9,12,13,36,43,-7,39
Maritimo,34,9,11,14,39,44,-5,38
Pacos de Ferreira,34,9,11,14,29,44,-15,38
Boavista,34,7,17,10,39,52,-13,38
Portimonense,34,10,8,16,31,45,-14,38
Vizela,34,7,12,15,37,58,-21,33
Arouca,34,7,10,17,30,54,-24,31
Moreirense,34,7,8,19,33,51,-18,29
Tondela,34,7,7,20,41,67,-26,28
Belenenses SAD,34,5,11,18,23,55,-32,26
