equipa,jogos_jogados,vitorias,empates,derrotas,golos_marcados,golos_sofridos,diferenca_golos,pontos,pontos_por_jornada,sem_sofrer_golos,ambas_as_equipas_do_jogo_marcaram,nao_marcou,_golos,mais_de_1.5_golos,mais_de_2.5_golos,media_golos_jogos_casa
Porto,17,15,2,0,50,11,+39,47,2.76,47%,53%,0%,94%,76%,3.59
Sporting CP,17,14,1,2,34,8,+26,43,2.53,71%,24%,6%,82%,35%,2.47
Sporting Braga,17,10,4,3,27,13,+14,34,2.00,47%,41%,24%,59%,47%,2.35
Benfica,17,10,3,4,36,16,+20,33,1.94,24%,65%,18%,82%,59%,3.06
Vitoria Guimaraes,17,9,3,5,34,20,+14,30,1.76,24%,65%,18%,82%,71%,3.18
Santa Clara,17,8,6,3,24,23,+1,30,1.76,29%,53%,24%,82%,53%,2.76
Gil Vicente,17,6,6,5,25,19,+6,24,1.41,35%,47%,24%,82%,53%,2.59
Famalicao,17,5,7,5,22,21,+1,22,1.29,35%,59%,29%,71%,59%,2.53
Boavista FC,17,4,10,3,20,20,0,22,1.29,29%,59%,18%,76%,29%,2.35
Pacos de Ferreira,17,5,6,6,19,22,-3,21,1.24,24%,59%,29%,82%,41%,2.41
GD Estoril Praia,17,4,8,5,21,21,0,20,1.18,35%,59%,24%,65%,53%,2.47
FC Vizela,17,4,7,6,16,21,-5,19,1.12,6%,59%,35%,76%,24%,2.18
FC Arouca,17,5,4,8,15,29,-14,19,1.12,18%,47%,41%,82%,47%,2.59
CS Maritimo,17,4,6,7,19,17,+2,18,1.06,29%,41%,41%,65%,29%,2.12
Moreirense FC,17,5,3,9,22,23,-1,18,1.06,12%,53%,35%,71%,47%,2.65
Belenenses SAD,17,5,3,9,15,30,-15,18,1.06,24%,47%,35%,71%,41%,2.65
Portimonense,17,4,4,9,15,22,-7,16,0.94,24%,53%,29%,71%,41%,2.18
CD Tondela,17,4,4,9,24,33,-9,16,0.94,6%,71%,24%,88%,76%,3.35
