equipa,jogos_jogados,vitorias,empates,derrotas,golos_marcados,golos_sofridos,diferenca_golos,pontos,pontos_por_jornada,sem_sofrer_golos,ambas_as_equipas_do_jogo_marcaram,nao_marcou,mais_de_0.5_golos,mais_de_1.5_golos,mais_de_2.5_golos,media_golos_intervalo
FC Porto,34,21,10,3,40,14,+26,73,2.15,65%,29%,21%,85%,53%,18%,1.59
Sporting,34,20,11,3,31,10,+21,71,2.09,74%,21%,29%,76%,29%,12%,1.21
Benfica,34,19,9,6,41,13,+28,66,1.94,65%,18%,38%,79%,44%,18%,1.59
Braga,34,12,16,6,22,12,+10,52,1.53,74%,12%,56%,59%,26%,9%,1
Estoril,34,10,16,8,20,16,+4,46,1.35,56%,21%,56%,68%,32%,6%,1.06
Santa Clara,34,11,12,11,20,19,+1,45,1.32,53%,21%,50%,76%,29%,9%,1.15
Pacos de Ferreira,34,10,14,10,16,16,0,44,1.29,62%,12%,59%,68%,24%,3%,0.94
Portimonense,34,10,13,11,17,20,-3,43,1.26,53%,15%,62%,71%,26%,9%,1.09
CD Tondela,34,10,12,12,19,25,-6,42,1.24,50%,18%,59%,74%,38%,15%,1.29
Vitoria Guimaraes,34,8,17,9,17,20,-3,41,1.21,56%,21%,56%,68%,29%,6%,1.09
CS Maritimo,34,7,19,8,19,24,-5,40,1.18,47%,29%,59%,65%,47%,15%,1.26
Famalicao,34,8,15,11,22,27,-5,39,1.15,47%,29%,53%,71%,47%,21%,1.44
Boavista FC,34,9,10,15,17,26,-9,37,1.09,44%,21%,53%,82%,32%,9%,1.26
FC Vizela,34,6,17,11,16,22,-6,35,1.03,56%,18%,65%,62%,35%,12%,1.12
Gil Vicente,34,5,20,9,15,16,-1,35,1.03,62%,21%,65%,53%,26%,12%,0.91
Moreirense FC,34,7,12,15,13,23,-10,33,0.97,50%,9%,74%,68%,24%,12%,1.06
Belenenses SAD,34,5,13,16,11,32,-21,28,0.82,44%,18%,68%,71%,29%,12%,1.26
FC Arouca,34,5,10,19,10,31,-21,25,0.74,41%,12%,76%,71%,26%,18%,1.21
